from_id,to_id,edge_type,rationale,status
A.2.2,A.2.3,extends,Policy scope extends to alignment with other policies,interpretation
A.2.2,A.2.4,requires,A maintained policy requires periodic review,interpretation
A.3.2,A.3.3,extends,Assigned roles extend to a concern-reporting process,interpretation
A.6.1.2,A.5.2,requires,Responsible-development objectives require an impact assessment,interpretation
A.5.2,A.5.3,requires,The impact-assessment process requires documented results,interpretation
A.5.2,A.5.4,extends,Impact assessment covers effects on individuals and groups,interpretation
A.5.4,A.5.5,extends,Individual-impact assessment extends to societal impact,interpretation
A.6.1.3,A.7.2,requires,Responsible design draws on data-management processes,interpretation
A.6.2.2,A.6.2.3,requires,System requirements require design documentation,interpretation
A.6.2.4,A.7.4,requires,Verification and validation rely on data quality,interpretation
A.6.2.5,A.6.2.4,requires,Deployment requires prior verification and validation,interpretation
A.6.2.6,A.6.2.8,requires,Operation monitoring requires event logging,interpretation
A.6.2.4,A.6.2.6,extends,Monitoring extends verification and validation into operation,interpretation
A.7.2,A.7.4,requires,Data management requires data quality,interpretation
A.7.2,A.7.5,requires,Data management requires provenance capture,interpretation
A.7.2,A.7.6,requires,Data management requires data-preparation criteria,interpretation
A.7.5,A.4.3,requires,Provenance builds on documented data resources,interpretation
A.8.2,A.6.2.7,requires,User information draws on technical documentation,interpretation
A.9.2,A.9.3,requires,Responsible-use processes require responsible-use objectives,interpretation
A.9.3,A.6.1.2,extends,Use objectives align with development objectives,interpretation
A.10.2,A.3.2,requires,Allocating value-chain responsibilities requires internal roles,interpretation
A.10.3,A.10.2,requires,Supplier governance requires responsibility allocation,interpretation
