control_id,area,area_label,short_label,trigger_automated_decision,trigger_personal_data,trigger_min_risk,clause_summary,clause_text_verbatim,provenance,status
A.2.2,A.2,AI policies,AI policy,,,,Maintain a documented policy governing how AI systems are developed and used.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.2.3,A.2,AI policies,Alignment with other organizational policies,,,,Identify other organizational policies that bear on AI and reconcile them.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.2.4,A.2,AI policies,Review of the AI policy,,,,Review the AI policy at planned intervals and when circumstances change.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.3.2,A.3,Internal organization,AI roles and responsibilities,,,,Define and assign AI-related roles and responsibilities across the organization.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.3.3,A.3,Internal organization,Reporting of concerns,,,,Provide a process for raising concerns about an AI system across its life cycle.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.4.2,A.4,Resources for AI systems,Resource documentation,,,,Identify and document the resources needed at each AI life-cycle stage.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.4.3,A.4,Resources for AI systems,Data resources,,,,Document the data resources used by the AI system.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.4.4,A.4,Resources for AI systems,Tooling resources,,,,Document the tooling used to develop and run the AI system.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.4.5,A.4,Resources for AI systems,System and computing resources,,,,Document the system and computing resources supporting the AI system.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.4.6,A.4,Resources for AI systems,Human resources,,,,Document the human resources and competencies across the AI life cycle.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.5.2,A.5,Assessing impacts of AI systems,AI system impact assessment process,Y,Y,,"Establish a process to assess AI system consequences for individuals, groups, and society.",,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.5.3,A.5,Assessing impacts of AI systems,Documentation of AI system impact assessments,Y,Y,,Document impact-assessment results and retain them for a defined period.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.5.4,A.5,Assessing impacts of AI systems,Assessing AI system impact on individuals or groups,Y,Y,,Assess and document potential effects on individuals and groups of individuals.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.5.5,A.5,Assessing impacts of AI systems,Assessing societal impacts of AI systems,,,Medium,Assess and document potential societal impacts across the life cycle.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.6.1.2,A.6,AI system life cycle,Objectives for responsible development,,,,Set and document objectives that guide responsible AI development.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.6.1.3,A.6,AI system life cycle,Processes for responsible design and development,,,,Define and document processes for responsible design and development.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.6.2.2,A.6,AI system life cycle,AI system requirements and specification,,,,Specify and document requirements for new or materially changed AI systems.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.6.2.3,A.6,AI system life cycle,Documentation of AI system design and development,,,,Document AI system design and development against requirements and criteria.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.6.2.4,A.6,AI system life cycle,AI system verification and validation,,,,"Define, document, and apply verification and validation measures with acceptance criteria.",,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.6.2.5,A.6,AI system life cycle,AI system deployment,,,,Document a deployment plan and confirm requirements are met before go-live.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.6.2.6,A.6,AI system life cycle,AI system operation and monitoring,,,,"Define ongoing operation and monitoring, including performance tracking and support.",,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.6.2.7,A.6,AI system life cycle,AI system technical documentation,,,,Determine and provide the technical documentation each interested party needs.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.6.2.8,A.6,AI system life cycle,AI system recording of event logs,,,,"Enable event logging over the life cycle, at least while the system is in use.",,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.7.2,A.7,Data for AI systems,Data for development and enhancement of AI system,,,,"Define, document, and apply data-management processes for AI development.",,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.7.3,A.7,Data for AI systems,Acquisition of data,,,,Determine and document how data is acquired and selected.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.7.4,A.7,Data for AI systems,Quality of data for AI systems,,,,Define data-quality requirements and ensure data meets them.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.7.5,A.7,Data for AI systems,Data provenance,,,,Define and document a process to record the provenance of data used.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.7.6,A.7,Data for AI systems,Data preparation,,,,Define and document criteria and methods for preparing data.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.8.2,A.8,Information for interested parties,System documentation and information for users,,,,Determine and provide the information users need about the AI system.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.8.3,A.8,Information for interested parties,External reporting,Y,Y,,Enable interested parties to report adverse effects of the AI system.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.8.4,A.8,Information for interested parties,Communication of incidents,,,,Define and document a plan to communicate incidents to users.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.8.5,A.8,Information for interested parties,Information for interested parties,,,,Determine and document obligations to inform interested parties.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.9.2,A.9,Use of AI systems,Processes for responsible use of AI systems,,,,Define and document processes for responsible use of AI systems.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.9.3,A.9,Use of AI systems,Objectives for responsible use of AI systems,,,,"Set and document objectives guiding responsible use, including human oversight and fairness.",,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.9.4,A.9,Use of AI systems,Intended use of the AI system,,,,Ensure the AI system is used in line with its intended use and documentation.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.10.2,A.10,Third-party & customer relationships,Allocating responsibilities,,,,"Allocate life-cycle responsibilities across the organization, partners, suppliers, and customers.",,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.10.3,A.10,Third-party & customer relationships,Suppliers,,,,Establish a process ensuring suppliers align with the organization's responsible-AI approach.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
A.10.4,A.10,Third-party & customer relationships,Customers,,,,Ensure the responsible-AI approach accounts for customer needs and expectations.,,ISO/IEC 42001:2023 Annex A,reconciled-with-standard
